state_code,district_code,sub_district_code,level,area_name,noofvillages,total_population,male_population,female_population
2,27,130,SUB-DISTRICT,Bhadrota,93,21542,10705,10837
2,27,131,SUB-DISTRICT,Baldwara,134,43811,21444,22367
2,27,132,SUB-DISTRICT,Sundarnagar,160,87007,43976,43031
2,27,133,SUB-DISTRICT,Mandi,368,187808,94438,93370
2,27,134,SUB-DISTRICT,Aut,60,30893,15641,15252
2,27,135,SUB-DISTRICT,Bali Chowki,97,37913,19389,18524
2,27,136,SUB-DISTRICT,Thunag,172,50308,25461,24847
2,27,137,SUB-DISTRICT,Chachyot,156,57723,28892,28831
2,27,138,SUB-DISTRICT,Nihri,204,35569,18051,17518
2,27,139,SUB-DISTRICT,Karsog,464,93126,47122,46004
2,28,0,DISTRICT,Hamirpur,1671,423338,200748,222590
2,28,140,SUB-DISTRICT,Tira Sujanpur,195,38064,17362,20702
2,28,141,SUB-DISTRICT,Nadaun,359,76659,37179,39480
2,28,142,SUB-DISTRICT,Galore,109,26957,12716,14241
2,28,143,SUB-DISTRICT,Hamirpur,374,99344,47799,51545
2,28,144,SUB-DISTRICT,Barsar,233,54103,25917,28186
2,28,145,SUB-DISTRICT,Dhatwal,128,37621,17579,20042
2,28,146,SUB-DISTRICT,Bhoranj,273,90590,42196,48394
2,29,0,DISTRICT,Una,790,476260,240254,236006
2,29,147,SUB-DISTRICT,Bharwain,46,17847,8997,8850
2,29,148,SUB-DISTRICT,Amb,241,161183,81129,80054
2,29,149,SUB-DISTRICT,Bangana,305,73035,36336,36699
2,29,150,SUB-DISTRICT,Una,139,152779,77484,75295
2,29,151,SUB-DISTRICT,Haroli,59,71416,36308,35108
2,30,0,DISTRICT,Bilaspur,953,356827,179653,177174
2,30,152,SUB-DISTRICT,Ghumarwin,210,81617,40436,41181
2,30,153,SUB-DISTRICT,Bharari,98,45713,22160,23553
2,30,154,SUB-DISTRICT,Jhanduta,227,89190,44916,44274
2,30,155,SUB-DISTRICT,Naina Devi,142,45480,23622,21858
2,30,156,SUB-DISTRICT,Bilaspur Sadar,160,62060,31808,30252
2,30,157,SUB-DISTRICT,Namhol,116,32767,16711,16056
2,31,0,DISTRICT,Solan,2383,478173,249736,228437
2,31,158,SUB-DISTRICT,Arki,297,53868,26831,27037
2,31,159,SUB-DISTRICT,Darlaghat,185,36763,19123,17640
2,31,160,SUB-DISTRICT,Ramshahr,217,32594,16601,15993
2,31,161,SUB-DISTRICT,Nalagarh,282,103503,54657,48846
2,31,162,SUB-DISTRICT,Baddi,187,61031,32976,28055
2,31,163,SUB-DISTRICT,Krishangarh,211,24511,12400,12111
2,31,164,SUB-DISTRICT,Kasauli,265,54621,29911,24710
2,31,165,SUB-DISTRICT,Solan,472,70753,36280,34473
2,31,166,SUB-DISTRICT,Kandaghat,267,40529,20957,19572
2,32,0,DISTRICT,Sirmaur,968,472690,246175,226515
2,32,167,SUB-DISTRICT,Rajgarh,140,45916,23599,22317
2,32,168,SUB-DISTRICT,Nohra,47,23022,11730,11292
2,32,169,SUB-DISTRICT,Pachhad,262,53800,27912,25888
2,32,170,SUB-DISTRICT,Renuka,74,47388,24221,23167
2,32,171,SUB-DISTRICT,Dadahu,72,17403,8870,8533
2,32,172,SUB-DISTRICT,Nahan,137,55250,28852,26398
2,32,173,SUB-DISTRICT,Paonta Sahib,141,132616,69750,62866
2,32,174,SUB-DISTRICT,Kamrau,45,37066,19400,17666
2,32,175,SUB-DISTRICT,Shalai,28,36905,19403,17502
2,32,176,SUB-DISTRICT,Ronhat,22,23324,12438,10886
2,33,0,DISTRICT,Shimla,2705,612659,314295,298364
2,33,177,SUB-DISTRICT,Rampur,152,67232,35100,32132
2,33,178,SUB-DISTRICT,Nankhari,84,26238,13292,12946
2,33,179,SUB-DISTRICT,Kumharsain,171,42161,21354,20807
2,33,180,SUB-DISTRICT,Seoni,199,32788,16281,16507
2,33,181,SUB-DISTRICT,Shimla   ( Rural ),540,82320,42588,39732
2,33,182,SUB-DISTRICT,Shimla (urban),0,0,0,0
2,33,183,SUB-DISTRICT,Junga,59,13398,6834,6564
2,33,184,SUB-DISTRICT,Theog,446,80331,40991,39340
2,33,185,SUB-DISTRICT,Chaupal,158,29267,14976,14291
2,33,186,SUB-DISTRICT,Cheta,58,19460,10094,9366
2,33,187,SUB-DISTRICT,Nerua,189,36517,18751,17766
2,33,188,SUB-DISTRICT,Jubbal,134,35997,18414,17583
2,33,189,SUB-DISTRICT,Kotkhai,219,38015,19404,18611
2,33,190,SUB-DISTRICT,Tikar,41,13806,7202,6604
2,33,191,SUB-DISTRICT,Rohru,129,42615,21848,20767
2,33,192,SUB-DISTRICT,Chirgaon,116,46142,23839,22303
2,33,193,SUB-DISTRICT,Dodra Kwar,10,6372,3327,3045
2,34,0,DISTRICT,Kinnaur,241,84121,46249,37872
2,34,194,SUB-DISTRICT,Hangrang,16,4659,2390,2269
2,34,195,SUB-DISTRICT,Poo,28,8309,4681,3628
2,34,196,SUB-DISTRICT,Morang,37,10238,5403,4835
2,34,197,SUB-DISTRICT,Kalpa,39,19190,10321,8869
2,34,198,SUB-DISTRICT,Nichar,85,27683,15463,12220
2,34,199,SUB-DISTRICT,Sangla,36,14042,7991,6051
3,0,0,STATE,PUNJAB,12168,17344192,9093476,8250716
3,35,0,DISTRICT,Gurdaspur,1515,1639004,855784,783220
3,35,200,SUB-DISTRICT,Dhar Kalan,27,48780,25414,23366
3,35,201,SUB-DISTRICT,Pathankot       ,336,329652,172345,157307
3,35,202,SUB-DISTRICT,Gurdaspur ,676,674345,350455,323890
3,35,203,SUB-DISTRICT,Batala ,358,472327,247569,224758
3,35,204,SUB-DISTRICT,Dera Baba Nanak  ,118,113900,60001,53899
3,36,0,DISTRICT,Kapurthala ,612,532706,275932,256774
3,36,205,SUB-DISTRICT,Bhulath,94,83690,42391,41299
3,36,206,SUB-DISTRICT,Kapurthala ,241,218983,114228,104755
3,36,207,SUB-DISTRICT,Sultanpur Lodhi ,175,104939,54506,50433
3,36,208,SUB-DISTRICT,Phagwara ,102,125094,64807,60287
